Company,Date,Department,Location,Employees Laid Off,Total Employees(Before Layoff),Reason,Revenue (in Billion USD),Net Profit (in Billion USD),Stock Price (USD),Layoff Severity (%)
Amazon,09-05-2020,Tech,Asia-Pacific,5051,866480,Cost Cutting,382.13,35.25,432.54,0.58
Amazon,13-04-2021,Tech,Asia-Pacific,3215,910971,Post-acquisition Redundancy,357.69,27.95,934.59,0.35
Amazon,08-03-2021,Logistics,India,5568,730285,Economic Downturn,85.75,11.42,2584.77,0.76
Amazon,15-03-2021,Retail,India,7831,1537477,Pandemic-related,274.15,36.84,2575.45,0.51
Amazon,18-08-2022,Cloud,Asia-Pacific,8076,792904,Pandemic-related,405.66,31.34,964.12,1.02
Amazon,22-05-2023,Ads,US,1482,1504645,Economic Downturn,378.67,34.91,1128.61,0.1
Amazon,16-03-2023,Logistics,US,1824,510244,Economic Downturn,483.54,31.65,3325.51,0.36
Amazon,19-10-2023,Marketing,Asia-Pacific,230,411924,Economic Downturn,260.85,25.12,2550.78,0.06
Amazon,18-06-2023,Finance,Canada,5343,1545227,Restructuring,459.21,25.37,1859.99,0.35
Amazon,02-12-2023,Customer Support,Europe,6843,1004718,Post-acquisition Redundancy,495.83,47.43,3575.12,0.68
Amazon,16-02-2024,Customer Support,US,5873,1159309,Cost Cutting,322.48,8.67,2436.83,0.51
Amazon,04-09-2024,Customer Support,India,4262,1264458,Cost Cutting,211.67,17.27,3010.28,0.34
Amazon,13-11-2024,Retail,Europe,1313,496999,Pandemic-related,323.73,7.75,708.88,0.26
